font_family,font_stem,codepoint_hex,character,glyph_name,svg_file
Geosiana Animal,geosiana-marker_animal,U+0021,!,exclam,svg/geosiana-marker_animal/u0021-exclam.svg
Geosiana Animal,geosiana-marker_animal,U+0022,U+0022,quotedbl,svg/geosiana-marker_animal/u0022-quotedbl.svg
Geosiana Animal,geosiana-marker_animal,U+0023,#,numbersign,svg/geosiana-marker_animal/u0023-numbersign.svg
Geosiana Animal,geosiana-marker_animal,U+0024,$,dollar,svg/geosiana-marker_animal/u0024-dollar.svg
Geosiana Animal,geosiana-marker_animal,U+0025,%,percent,svg/geosiana-marker_animal/u0025-percent.svg
Geosiana Animal,geosiana-marker_animal,U+0026,&,ampersand,svg/geosiana-marker_animal/u0026-ampersand.svg
Geosiana Animal,geosiana-marker_animal,U+0027,',quotesingle,svg/geosiana-marker_animal/u0027-quotesingle.svg
Geosiana Animal,geosiana-marker_animal,U+0028,(,parenleft,svg/geosiana-marker_animal/u0028-parenleft.svg
Geosiana Animal,geosiana-marker_animal,U+0029,),parenright,svg/geosiana-marker_animal/u0029-parenright.svg
Geosiana Animal,geosiana-marker_animal,U+002A,U+002A,asterisk,svg/geosiana-marker_animal/u002A-asterisk.svg
Geosiana Animal,geosiana-marker_animal,U+002B,+,plus,svg/geosiana-marker_animal/u002B-plus.svg
Geosiana Animal,geosiana-marker_animal,U+002C,",",comma,svg/geosiana-marker_animal/u002C-comma.svg
Geosiana Animal,geosiana-marker_animal,U+002D,-,hyphen,svg/geosiana-marker_animal/u002D-hyphen.svg
Geosiana Animal,geosiana-marker_animal,U+002E,.,period,svg/geosiana-marker_animal/u002E-period.svg
Geosiana Animal,geosiana-marker_animal,U+002F,U+002F,slash,svg/geosiana-marker_animal/u002F-slash.svg
Geosiana Animal,geosiana-marker_animal,U+0030,0,zero,svg/geosiana-marker_animal/u0030-zero.svg
Geosiana Animal,geosiana-marker_animal,U+0031,1,one,svg/geosiana-marker_animal/u0031-one.svg
Geosiana Animal,geosiana-marker_animal,U+0032,2,two,svg/geosiana-marker_animal/u0032-two.svg
Geosiana Animal,geosiana-marker_animal,U+0033,3,three,svg/geosiana-marker_animal/u0033-three.svg
Geosiana Animal,geosiana-marker_animal,U+0034,4,four,svg/geosiana-marker_animal/u0034-four.svg
Geosiana Animal,geosiana-marker_animal,U+0035,5,five,svg/geosiana-marker_animal/u0035-five.svg
Geosiana Animal,geosiana-marker_animal,U+0036,6,six,svg/geosiana-marker_animal/u0036-six.svg
Geosiana Animal,geosiana-marker_animal,U+0037,7,seven,svg/geosiana-marker_animal/u0037-seven.svg
Geosiana Animal,geosiana-marker_animal,U+0038,8,eight,svg/geosiana-marker_animal/u0038-eight.svg
Geosiana Animal,geosiana-marker_animal,U+0039,9,nine,svg/geosiana-marker_animal/u0039-nine.svg
Geosiana Animal,geosiana-marker_animal,U+003A,U+003A,colon,svg/geosiana-marker_animal/u003A-colon.svg
Geosiana Animal,geosiana-marker_animal,U+003B,;,semicolon,svg/geosiana-marker_animal/u003B-semicolon.svg
Geosiana Animal,geosiana-marker_animal,U+003C,U+003C,less,svg/geosiana-marker_animal/u003C-less.svg
Geosiana Animal,geosiana-marker_animal,U+003D,=,equal,svg/geosiana-marker_animal/u003D-equal.svg
Geosiana Animal,geosiana-marker_animal,U+003E,U+003E,greater,svg/geosiana-marker_animal/u003E-greater.svg
Geosiana Animal,geosiana-marker_animal,U+003F,U+003F,question,svg/geosiana-marker_animal/u003F-question.svg
Geosiana Animal,geosiana-marker_animal,U+0040,@,at,svg/geosiana-marker_animal/u0040-at.svg
Geosiana Animal,geosiana-marker_animal,U+0041,A,A,svg/geosiana-marker_animal/u0041-a.svg
Geosiana Animal,geosiana-marker_animal,U+0042,B,B,svg/geosiana-marker_animal/u0042-b.svg
Geosiana Animal,geosiana-marker_animal,U+0043,C,C,svg/geosiana-marker_animal/u0043-c.svg
Geosiana Animal,geosiana-marker_animal,U+0044,D,D,svg/geosiana-marker_animal/u0044-d.svg
Geosiana Animal,geosiana-marker_animal,U+0045,E,E,svg/geosiana-marker_animal/u0045-e.svg
Geosiana Animal,geosiana-marker_animal,U+0046,F,F,svg/geosiana-marker_animal/u0046-f.svg
Geosiana Animal,geosiana-marker_animal,U+0047,G,G,svg/geosiana-marker_animal/u0047-g.svg
Geosiana Animal,geosiana-marker_animal,U+0048,H,H,svg/geosiana-marker_animal/u0048-h.svg
Geosiana Animal,geosiana-marker_animal,U+0049,I,I,svg/geosiana-marker_animal/u0049-i.svg
Geosiana Animal,geosiana-marker_animal,U+004A,J,J,svg/geosiana-marker_animal/u004A-j.svg
Geosiana Animal,geosiana-marker_animal,U+004B,K,K,svg/geosiana-marker_animal/u004B-k.svg
Geosiana Animal,geosiana-marker_animal,U+004C,L,L,svg/geosiana-marker_animal/u004C-l.svg
Geosiana Animal,geosiana-marker_animal,U+004D,M,M,svg/geosiana-marker_animal/u004D-m.svg
Geosiana Animal,geosiana-marker_animal,U+004E,N,N,svg/geosiana-marker_animal/u004E-n.svg
Geosiana Animal,geosiana-marker_animal,U+004F,O,O,svg/geosiana-marker_animal/u004F-o.svg
Geosiana Animal,geosiana-marker_animal,U+0050,P,P,svg/geosiana-marker_animal/u0050-p.svg
Geosiana Animal,geosiana-marker_animal,U+0051,Q,Q,svg/geosiana-marker_animal/u0051-q.svg
Geosiana Animal,geosiana-marker_animal,U+0052,R,R,svg/geosiana-marker_animal/u0052-r.svg
Geosiana Animal,geosiana-marker_animal,U+0053,S,S,svg/geosiana-marker_animal/u0053-s.svg
Geosiana Animal,geosiana-marker_animal,U+0054,T,T,svg/geosiana-marker_animal/u0054-t.svg
Geosiana Animal,geosiana-marker_animal,U+0055,U,U,svg/geosiana-marker_animal/u0055-u.svg
Geosiana Animal,geosiana-marker_animal,U+0056,V,V,svg/geosiana-marker_animal/u0056-v.svg
Geosiana Animal,geosiana-marker_animal,U+0057,W,W,svg/geosiana-marker_animal/u0057-w.svg
Geosiana Animal,geosiana-marker_animal,U+0058,X,X,svg/geosiana-marker_animal/u0058-x.svg
Geosiana Animal,geosiana-marker_animal,U+0059,Y,Y,svg/geosiana-marker_animal/u0059-y.svg
Geosiana Animal,geosiana-marker_animal,U+005A,Z,Z,svg/geosiana-marker_animal/u005A-z.svg
Geosiana Animal,geosiana-marker_animal,U+005B,[,bracketleft,svg/geosiana-marker_animal/u005B-bracketleft.svg
Geosiana Animal,geosiana-marker_animal,U+005C,U+005C,backslash,svg/geosiana-marker_animal/u005C-backslash.svg
Geosiana Animal,geosiana-marker_animal,U+005D,],bracketright,svg/geosiana-marker_animal/u005D-bracketright.svg
Geosiana Animal,geosiana-marker_animal,U+005E,^,asciicircum,svg/geosiana-marker_animal/u005E-asciicircum.svg
Geosiana Animal,geosiana-marker_animal,U+005F,_,underscore,svg/geosiana-marker_animal/u005F-underscore.svg
Geosiana Animal,geosiana-marker_animal,U+0060,`,grave,svg/geosiana-marker_animal/u0060-grave.svg
Geosiana Animal,geosiana-marker_animal,U+0061,a,a,svg/geosiana-marker_animal/u0061-a.svg
Geosiana Animal,geosiana-marker_animal,U+0062,b,b,svg/geosiana-marker_animal/u0062-b.svg
Geosiana Animal,geosiana-marker_animal,U+0063,c,c,svg/geosiana-marker_animal/u0063-c.svg
Geosiana Animal,geosiana-marker_animal,U+0064,d,d,svg/geosiana-marker_animal/u0064-d.svg
Geosiana Animal,geosiana-marker_animal,U+0065,e,e,svg/geosiana-marker_animal/u0065-e.svg
Geosiana Animal,geosiana-marker_animal,U+0066,f,f,svg/geosiana-marker_animal/u0066-f.svg
Geosiana Animal,geosiana-marker_animal,U+0067,g,g,svg/geosiana-marker_animal/u0067-g.svg
Geosiana Animal,geosiana-marker_animal,U+0068,h,h,svg/geosiana-marker_animal/u0068-h.svg
Geosiana Animal,geosiana-marker_animal,U+0069,i,i,svg/geosiana-marker_animal/u0069-i.svg
Geosiana Animal,geosiana-marker_animal,U+006A,j,j,svg/geosiana-marker_animal/u006A-j.svg
Geosiana Animal,geosiana-marker_animal,U+006B,k,k,svg/geosiana-marker_animal/u006B-k.svg
Geosiana Animal,geosiana-marker_animal,U+006C,l,l,svg/geosiana-marker_animal/u006C-l.svg
Geosiana Animal,geosiana-marker_animal,U+006D,m,m,svg/geosiana-marker_animal/u006D-m.svg
Geosiana Animal,geosiana-marker_animal,U+006E,n,n,svg/geosiana-marker_animal/u006E-n.svg
Geosiana Animal,geosiana-marker_animal,U+006F,o,o,svg/geosiana-marker_animal/u006F-o.svg
Geosiana Animal,geosiana-marker_animal,U+0070,p,p,svg/geosiana-marker_animal/u0070-p.svg
Geosiana Animal,geosiana-marker_animal,U+0071,q,q,svg/geosiana-marker_animal/u0071-q.svg
Geosiana Animal,geosiana-marker_animal,U+0072,r,r,svg/geosiana-marker_animal/u0072-r.svg
Geosiana Animal,geosiana-marker_animal,U+0073,s,s,svg/geosiana-marker_animal/u0073-s.svg
Geosiana Animal,geosiana-marker_animal,U+0074,t,t,svg/geosiana-marker_animal/u0074-t.svg
Geosiana Animal,geosiana-marker_animal,U+0075,u,u,svg/geosiana-marker_animal/u0075-u.svg
Geosiana Animal,geosiana-marker_animal,U+0076,v,v,svg/geosiana-marker_animal/u0076-v.svg
Geosiana Animal,geosiana-marker_animal,U+0077,w,w,svg/geosiana-marker_animal/u0077-w.svg
Geosiana Animal,geosiana-marker_animal,U+0078,x,x,svg/geosiana-marker_animal/u0078-x.svg
Geosiana Animal,geosiana-marker_animal,U+0079,y,y,svg/geosiana-marker_animal/u0079-y.svg
Geosiana Animal,geosiana-marker_animal,U+007A,z,z,svg/geosiana-marker_animal/u007A-z.svg
Geosiana Animal,geosiana-marker_animal,U+007C,U+007C,bar,svg/geosiana-marker_animal/u007C-bar.svg
Geosiana Animal,geosiana-marker_animal,U+007D,},braceright,svg/geosiana-marker_animal/u007D-braceright.svg
Geosiana Animal,geosiana-marker_animal,U+007E,~,asciitilde,svg/geosiana-marker_animal/u007E-asciitilde.svg
Geosiana Animal,geosiana-marker_animal,U+00A1,¡,exclamdown,svg/geosiana-marker_animal/u00A1-exclamdown.svg
Geosiana Animal,geosiana-marker_animal,U+00A2,¢,cent,svg/geosiana-marker_animal/u00A2-cent.svg
Geosiana Animal,geosiana-marker_animal,U+00A3,£,sterling,svg/geosiana-marker_animal/u00A3-sterling.svg
