font_family,font_stem,codepoint_hex,character,glyph_name,svg_file
Geosiana Default,geosiana-marker_default,U+0021,!,exclam,svg/geosiana-marker_default/u0021-exclam.svg
Geosiana Default,geosiana-marker_default,U+0022,U+0022,quotedbl,svg/geosiana-marker_default/u0022-quotedbl.svg
Geosiana Default,geosiana-marker_default,U+0023,#,numbersign,svg/geosiana-marker_default/u0023-numbersign.svg
Geosiana Default,geosiana-marker_default,U+0024,$,dollar,svg/geosiana-marker_default/u0024-dollar.svg
Geosiana Default,geosiana-marker_default,U+0025,%,percent,svg/geosiana-marker_default/u0025-percent.svg
Geosiana Default,geosiana-marker_default,U+0026,&,ampersand,svg/geosiana-marker_default/u0026-ampersand.svg
Geosiana Default,geosiana-marker_default,U+0027,',quotesingle,svg/geosiana-marker_default/u0027-quotesingle.svg
Geosiana Default,geosiana-marker_default,U+0028,(,parenleft,svg/geosiana-marker_default/u0028-parenleft.svg
Geosiana Default,geosiana-marker_default,U+0029,),parenright,svg/geosiana-marker_default/u0029-parenright.svg
Geosiana Default,geosiana-marker_default,U+002A,U+002A,asterisk,svg/geosiana-marker_default/u002A-asterisk.svg
Geosiana Default,geosiana-marker_default,U+002B,+,plus,svg/geosiana-marker_default/u002B-plus.svg
Geosiana Default,geosiana-marker_default,U+002C,",",comma,svg/geosiana-marker_default/u002C-comma.svg
Geosiana Default,geosiana-marker_default,U+002D,-,hyphen,svg/geosiana-marker_default/u002D-hyphen.svg
Geosiana Default,geosiana-marker_default,U+002E,.,period,svg/geosiana-marker_default/u002E-period.svg
Geosiana Default,geosiana-marker_default,U+002F,U+002F,slash,svg/geosiana-marker_default/u002F-slash.svg
Geosiana Default,geosiana-marker_default,U+0030,0,zero,svg/geosiana-marker_default/u0030-zero.svg
Geosiana Default,geosiana-marker_default,U+0031,1,one,svg/geosiana-marker_default/u0031-one.svg
Geosiana Default,geosiana-marker_default,U+0032,2,two,svg/geosiana-marker_default/u0032-two.svg
Geosiana Default,geosiana-marker_default,U+0033,3,three,svg/geosiana-marker_default/u0033-three.svg
Geosiana Default,geosiana-marker_default,U+0034,4,four,svg/geosiana-marker_default/u0034-four.svg
Geosiana Default,geosiana-marker_default,U+0035,5,five,svg/geosiana-marker_default/u0035-five.svg
Geosiana Default,geosiana-marker_default,U+0036,6,six,svg/geosiana-marker_default/u0036-six.svg
Geosiana Default,geosiana-marker_default,U+0037,7,seven,svg/geosiana-marker_default/u0037-seven.svg
Geosiana Default,geosiana-marker_default,U+0038,8,eight,svg/geosiana-marker_default/u0038-eight.svg
Geosiana Default,geosiana-marker_default,U+0039,9,nine,svg/geosiana-marker_default/u0039-nine.svg
Geosiana Default,geosiana-marker_default,U+003A,U+003A,colon,svg/geosiana-marker_default/u003A-colon.svg
Geosiana Default,geosiana-marker_default,U+003B,;,semicolon,svg/geosiana-marker_default/u003B-semicolon.svg
Geosiana Default,geosiana-marker_default,U+003C,U+003C,less,svg/geosiana-marker_default/u003C-less.svg
Geosiana Default,geosiana-marker_default,U+003D,=,equal,svg/geosiana-marker_default/u003D-equal.svg
Geosiana Default,geosiana-marker_default,U+003E,U+003E,greater,svg/geosiana-marker_default/u003E-greater.svg
Geosiana Default,geosiana-marker_default,U+003F,U+003F,question,svg/geosiana-marker_default/u003F-question.svg
Geosiana Default,geosiana-marker_default,U+0040,@,at,svg/geosiana-marker_default/u0040-at.svg
Geosiana Default,geosiana-marker_default,U+0041,A,A,svg/geosiana-marker_default/u0041-a.svg
Geosiana Default,geosiana-marker_default,U+0042,B,B,svg/geosiana-marker_default/u0042-b.svg
Geosiana Default,geosiana-marker_default,U+0043,C,C,svg/geosiana-marker_default/u0043-c.svg
Geosiana Default,geosiana-marker_default,U+0044,D,D,svg/geosiana-marker_default/u0044-d.svg
Geosiana Default,geosiana-marker_default,U+0045,E,E,svg/geosiana-marker_default/u0045-e.svg
Geosiana Default,geosiana-marker_default,U+0046,F,F,svg/geosiana-marker_default/u0046-f.svg
Geosiana Default,geosiana-marker_default,U+0047,G,G,svg/geosiana-marker_default/u0047-g.svg
Geosiana Default,geosiana-marker_default,U+0048,H,H,svg/geosiana-marker_default/u0048-h.svg
Geosiana Default,geosiana-marker_default,U+0049,I,I,svg/geosiana-marker_default/u0049-i.svg
Geosiana Default,geosiana-marker_default,U+004A,J,J,svg/geosiana-marker_default/u004A-j.svg
Geosiana Default,geosiana-marker_default,U+004B,K,K,svg/geosiana-marker_default/u004B-k.svg
Geosiana Default,geosiana-marker_default,U+004C,L,L,svg/geosiana-marker_default/u004C-l.svg
Geosiana Default,geosiana-marker_default,U+004D,M,M,svg/geosiana-marker_default/u004D-m.svg
Geosiana Default,geosiana-marker_default,U+004E,N,N,svg/geosiana-marker_default/u004E-n.svg
Geosiana Default,geosiana-marker_default,U+004F,O,O,svg/geosiana-marker_default/u004F-o.svg
Geosiana Default,geosiana-marker_default,U+0050,P,P,svg/geosiana-marker_default/u0050-p.svg
Geosiana Default,geosiana-marker_default,U+0051,Q,Q,svg/geosiana-marker_default/u0051-q.svg
Geosiana Default,geosiana-marker_default,U+0052,R,R,svg/geosiana-marker_default/u0052-r.svg
Geosiana Default,geosiana-marker_default,U+0053,S,S,svg/geosiana-marker_default/u0053-s.svg
Geosiana Default,geosiana-marker_default,U+0054,T,T,svg/geosiana-marker_default/u0054-t.svg
Geosiana Default,geosiana-marker_default,U+0055,U,U,svg/geosiana-marker_default/u0055-u.svg
Geosiana Default,geosiana-marker_default,U+0056,V,V,svg/geosiana-marker_default/u0056-v.svg
Geosiana Default,geosiana-marker_default,U+0057,W,W,svg/geosiana-marker_default/u0057-w.svg
Geosiana Default,geosiana-marker_default,U+0058,X,X,svg/geosiana-marker_default/u0058-x.svg
Geosiana Default,geosiana-marker_default,U+0059,Y,Y,svg/geosiana-marker_default/u0059-y.svg
Geosiana Default,geosiana-marker_default,U+005A,Z,Z,svg/geosiana-marker_default/u005A-z.svg
Geosiana Default,geosiana-marker_default,U+005B,[,bracketleft,svg/geosiana-marker_default/u005B-bracketleft.svg
Geosiana Default,geosiana-marker_default,U+005C,U+005C,backslash,svg/geosiana-marker_default/u005C-backslash.svg
Geosiana Default,geosiana-marker_default,U+005D,],bracketright,svg/geosiana-marker_default/u005D-bracketright.svg
Geosiana Default,geosiana-marker_default,U+005E,^,asciicircum,svg/geosiana-marker_default/u005E-asciicircum.svg
Geosiana Default,geosiana-marker_default,U+005F,_,underscore,svg/geosiana-marker_default/u005F-underscore.svg
Geosiana Default,geosiana-marker_default,U+0060,`,grave,svg/geosiana-marker_default/u0060-grave.svg
Geosiana Default,geosiana-marker_default,U+0061,a,a,svg/geosiana-marker_default/u0061-a.svg
Geosiana Default,geosiana-marker_default,U+0062,b,b,svg/geosiana-marker_default/u0062-b.svg
Geosiana Default,geosiana-marker_default,U+0063,c,c,svg/geosiana-marker_default/u0063-c.svg
Geosiana Default,geosiana-marker_default,U+0064,d,d,svg/geosiana-marker_default/u0064-d.svg
Geosiana Default,geosiana-marker_default,U+0065,e,e,svg/geosiana-marker_default/u0065-e.svg
Geosiana Default,geosiana-marker_default,U+0066,f,f,svg/geosiana-marker_default/u0066-f.svg
Geosiana Default,geosiana-marker_default,U+0067,g,g,svg/geosiana-marker_default/u0067-g.svg
Geosiana Default,geosiana-marker_default,U+0068,h,h,svg/geosiana-marker_default/u0068-h.svg
Geosiana Default,geosiana-marker_default,U+0069,i,i,svg/geosiana-marker_default/u0069-i.svg
Geosiana Default,geosiana-marker_default,U+006A,j,j,svg/geosiana-marker_default/u006A-j.svg
Geosiana Default,geosiana-marker_default,U+006B,k,k,svg/geosiana-marker_default/u006B-k.svg
Geosiana Default,geosiana-marker_default,U+006C,l,l,svg/geosiana-marker_default/u006C-l.svg
Geosiana Default,geosiana-marker_default,U+006D,m,m,svg/geosiana-marker_default/u006D-m.svg
Geosiana Default,geosiana-marker_default,U+006E,n,n,svg/geosiana-marker_default/u006E-n.svg
Geosiana Default,geosiana-marker_default,U+006F,o,o,svg/geosiana-marker_default/u006F-o.svg
Geosiana Default,geosiana-marker_default,U+0070,p,p,svg/geosiana-marker_default/u0070-p.svg
Geosiana Default,geosiana-marker_default,U+0071,q,q,svg/geosiana-marker_default/u0071-q.svg
Geosiana Default,geosiana-marker_default,U+0072,r,r,svg/geosiana-marker_default/u0072-r.svg
Geosiana Default,geosiana-marker_default,U+0073,s,s,svg/geosiana-marker_default/u0073-s.svg
Geosiana Default,geosiana-marker_default,U+0074,t,t,svg/geosiana-marker_default/u0074-t.svg
Geosiana Default,geosiana-marker_default,U+0075,u,u,svg/geosiana-marker_default/u0075-u.svg
Geosiana Default,geosiana-marker_default,U+0076,v,v,svg/geosiana-marker_default/u0076-v.svg
Geosiana Default,geosiana-marker_default,U+0077,w,w,svg/geosiana-marker_default/u0077-w.svg
Geosiana Default,geosiana-marker_default,U+0078,x,x,svg/geosiana-marker_default/u0078-x.svg
Geosiana Default,geosiana-marker_default,U+0079,y,y,svg/geosiana-marker_default/u0079-y.svg
Geosiana Default,geosiana-marker_default,U+007A,z,z,svg/geosiana-marker_default/u007A-z.svg
Geosiana Default,geosiana-marker_default,U+007C,U+007C,bar,svg/geosiana-marker_default/u007C-bar.svg
Geosiana Default,geosiana-marker_default,U+007D,},braceright,svg/geosiana-marker_default/u007D-braceright.svg
Geosiana Default,geosiana-marker_default,U+007E,~,asciitilde,svg/geosiana-marker_default/u007E-asciitilde.svg
Geosiana Default,geosiana-marker_default,U+00A1,¡,exclamdown,svg/geosiana-marker_default/u00A1-exclamdown.svg
Geosiana Default,geosiana-marker_default,U+00A2,¢,cent,svg/geosiana-marker_default/u00A2-cent.svg
Geosiana Default,geosiana-marker_default,U+00A3,£,sterling,svg/geosiana-marker_default/u00A3-sterling.svg
Geosiana Default,geosiana-marker_default,U+00A4,¤,currency,svg/geosiana-marker_default/u00A4-currency.svg
