font_family,font_stem,codepoint_hex,character,glyph_name,svg_file
Geosiana Extra,geosiana-marker_extra,U+0021,!,exclam,svg/geosiana-marker_extra/u0021-exclam.svg
Geosiana Extra,geosiana-marker_extra,U+0022,U+0022,quotedbl,svg/geosiana-marker_extra/u0022-quotedbl.svg
Geosiana Extra,geosiana-marker_extra,U+0023,#,numbersign,svg/geosiana-marker_extra/u0023-numbersign.svg
Geosiana Extra,geosiana-marker_extra,U+0024,$,dollar,svg/geosiana-marker_extra/u0024-dollar.svg
Geosiana Extra,geosiana-marker_extra,U+0025,%,percent,svg/geosiana-marker_extra/u0025-percent.svg
Geosiana Extra,geosiana-marker_extra,U+0026,&,ampersand,svg/geosiana-marker_extra/u0026-ampersand.svg
Geosiana Extra,geosiana-marker_extra,U+0027,',quotesingle,svg/geosiana-marker_extra/u0027-quotesingle.svg
Geosiana Extra,geosiana-marker_extra,U+0028,(,parenleft,svg/geosiana-marker_extra/u0028-parenleft.svg
Geosiana Extra,geosiana-marker_extra,U+0029,),parenright,svg/geosiana-marker_extra/u0029-parenright.svg
Geosiana Extra,geosiana-marker_extra,U+002A,U+002A,asterisk,svg/geosiana-marker_extra/u002A-asterisk.svg
Geosiana Extra,geosiana-marker_extra,U+002B,+,plus,svg/geosiana-marker_extra/u002B-plus.svg
Geosiana Extra,geosiana-marker_extra,U+002C,",",comma,svg/geosiana-marker_extra/u002C-comma.svg
Geosiana Extra,geosiana-marker_extra,U+002D,-,hyphen,svg/geosiana-marker_extra/u002D-hyphen.svg
Geosiana Extra,geosiana-marker_extra,U+002E,.,period,svg/geosiana-marker_extra/u002E-period.svg
Geosiana Extra,geosiana-marker_extra,U+002F,U+002F,slash,svg/geosiana-marker_extra/u002F-slash.svg
Geosiana Extra,geosiana-marker_extra,U+0030,0,zero,svg/geosiana-marker_extra/u0030-zero.svg
Geosiana Extra,geosiana-marker_extra,U+0031,1,one,svg/geosiana-marker_extra/u0031-one.svg
Geosiana Extra,geosiana-marker_extra,U+0032,2,two,svg/geosiana-marker_extra/u0032-two.svg
Geosiana Extra,geosiana-marker_extra,U+0033,3,three,svg/geosiana-marker_extra/u0033-three.svg
Geosiana Extra,geosiana-marker_extra,U+0034,4,four,svg/geosiana-marker_extra/u0034-four.svg
Geosiana Extra,geosiana-marker_extra,U+0035,5,five,svg/geosiana-marker_extra/u0035-five.svg
Geosiana Extra,geosiana-marker_extra,U+0036,6,six,svg/geosiana-marker_extra/u0036-six.svg
Geosiana Extra,geosiana-marker_extra,U+0037,7,seven,svg/geosiana-marker_extra/u0037-seven.svg
Geosiana Extra,geosiana-marker_extra,U+0038,8,eight,svg/geosiana-marker_extra/u0038-eight.svg
Geosiana Extra,geosiana-marker_extra,U+0039,9,nine,svg/geosiana-marker_extra/u0039-nine.svg
Geosiana Extra,geosiana-marker_extra,U+003A,U+003A,colon,svg/geosiana-marker_extra/u003A-colon.svg
Geosiana Extra,geosiana-marker_extra,U+003B,;,semicolon,svg/geosiana-marker_extra/u003B-semicolon.svg
Geosiana Extra,geosiana-marker_extra,U+003C,U+003C,less,svg/geosiana-marker_extra/u003C-less.svg
Geosiana Extra,geosiana-marker_extra,U+003D,=,equal,svg/geosiana-marker_extra/u003D-equal.svg
Geosiana Extra,geosiana-marker_extra,U+003E,U+003E,greater,svg/geosiana-marker_extra/u003E-greater.svg
Geosiana Extra,geosiana-marker_extra,U+003F,U+003F,question,svg/geosiana-marker_extra/u003F-question.svg
Geosiana Extra,geosiana-marker_extra,U+0040,@,at,svg/geosiana-marker_extra/u0040-at.svg
Geosiana Extra,geosiana-marker_extra,U+0041,A,A,svg/geosiana-marker_extra/u0041-a.svg
Geosiana Extra,geosiana-marker_extra,U+0042,B,B,svg/geosiana-marker_extra/u0042-b.svg
Geosiana Extra,geosiana-marker_extra,U+0043,C,C,svg/geosiana-marker_extra/u0043-c.svg
Geosiana Extra,geosiana-marker_extra,U+0044,D,D,svg/geosiana-marker_extra/u0044-d.svg
Geosiana Extra,geosiana-marker_extra,U+0045,E,E,svg/geosiana-marker_extra/u0045-e.svg
Geosiana Extra,geosiana-marker_extra,U+0046,F,F,svg/geosiana-marker_extra/u0046-f.svg
Geosiana Extra,geosiana-marker_extra,U+0047,G,G,svg/geosiana-marker_extra/u0047-g.svg
Geosiana Extra,geosiana-marker_extra,U+0048,H,H,svg/geosiana-marker_extra/u0048-h.svg
Geosiana Extra,geosiana-marker_extra,U+0049,I,I,svg/geosiana-marker_extra/u0049-i.svg
Geosiana Extra,geosiana-marker_extra,U+004A,J,J,svg/geosiana-marker_extra/u004A-j.svg
Geosiana Extra,geosiana-marker_extra,U+004B,K,K,svg/geosiana-marker_extra/u004B-k.svg
Geosiana Extra,geosiana-marker_extra,U+004C,L,L,svg/geosiana-marker_extra/u004C-l.svg
Geosiana Extra,geosiana-marker_extra,U+004D,M,M,svg/geosiana-marker_extra/u004D-m.svg
Geosiana Extra,geosiana-marker_extra,U+004E,N,N,svg/geosiana-marker_extra/u004E-n.svg
Geosiana Extra,geosiana-marker_extra,U+004F,O,O,svg/geosiana-marker_extra/u004F-o.svg
Geosiana Extra,geosiana-marker_extra,U+0050,P,P,svg/geosiana-marker_extra/u0050-p.svg
Geosiana Extra,geosiana-marker_extra,U+0051,Q,Q,svg/geosiana-marker_extra/u0051-q.svg
Geosiana Extra,geosiana-marker_extra,U+0052,R,R,svg/geosiana-marker_extra/u0052-r.svg
Geosiana Extra,geosiana-marker_extra,U+0053,S,S,svg/geosiana-marker_extra/u0053-s.svg
Geosiana Extra,geosiana-marker_extra,U+0054,T,T,svg/geosiana-marker_extra/u0054-t.svg
Geosiana Extra,geosiana-marker_extra,U+0055,U,U,svg/geosiana-marker_extra/u0055-u.svg
Geosiana Extra,geosiana-marker_extra,U+0056,V,V,svg/geosiana-marker_extra/u0056-v.svg
Geosiana Extra,geosiana-marker_extra,U+0057,W,W,svg/geosiana-marker_extra/u0057-w.svg
Geosiana Extra,geosiana-marker_extra,U+0058,X,X,svg/geosiana-marker_extra/u0058-x.svg
Geosiana Extra,geosiana-marker_extra,U+0059,Y,Y,svg/geosiana-marker_extra/u0059-y.svg
Geosiana Extra,geosiana-marker_extra,U+005A,Z,Z,svg/geosiana-marker_extra/u005A-z.svg
Geosiana Extra,geosiana-marker_extra,U+005B,[,bracketleft,svg/geosiana-marker_extra/u005B-bracketleft.svg
Geosiana Extra,geosiana-marker_extra,U+005C,U+005C,backslash,svg/geosiana-marker_extra/u005C-backslash.svg
Geosiana Extra,geosiana-marker_extra,U+005D,],bracketright,svg/geosiana-marker_extra/u005D-bracketright.svg
Geosiana Extra,geosiana-marker_extra,U+005E,^,asciicircum,svg/geosiana-marker_extra/u005E-asciicircum.svg
Geosiana Extra,geosiana-marker_extra,U+005F,_,underscore,svg/geosiana-marker_extra/u005F-underscore.svg
Geosiana Extra,geosiana-marker_extra,U+0060,`,grave,svg/geosiana-marker_extra/u0060-grave.svg
Geosiana Extra,geosiana-marker_extra,U+0061,a,a,svg/geosiana-marker_extra/u0061-a.svg
Geosiana Extra,geosiana-marker_extra,U+0062,b,b,svg/geosiana-marker_extra/u0062-b.svg
