font_family,font_stem,codepoint_hex,character,glyph_name,svg_file
Geosiana Forestry,geosiana-marker_forestry,U+0021,!,exclam,svg/geosiana-marker_forestry/u0021-exclam.svg
Geosiana Forestry,geosiana-marker_forestry,U+0022,U+0022,quotedbl,svg/geosiana-marker_forestry/u0022-quotedbl.svg
Geosiana Forestry,geosiana-marker_forestry,U+0023,#,numbersign,svg/geosiana-marker_forestry/u0023-numbersign.svg
Geosiana Forestry,geosiana-marker_forestry,U+0024,$,dollar,svg/geosiana-marker_forestry/u0024-dollar.svg
Geosiana Forestry,geosiana-marker_forestry,U+0025,%,percent,svg/geosiana-marker_forestry/u0025-percent.svg
Geosiana Forestry,geosiana-marker_forestry,U+0026,&,ampersand,svg/geosiana-marker_forestry/u0026-ampersand.svg
Geosiana Forestry,geosiana-marker_forestry,U+0027,',quotesingle,svg/geosiana-marker_forestry/u0027-quotesingle.svg
Geosiana Forestry,geosiana-marker_forestry,U+0028,(,parenleft,svg/geosiana-marker_forestry/u0028-parenleft.svg
Geosiana Forestry,geosiana-marker_forestry,U+0029,),parenright,svg/geosiana-marker_forestry/u0029-parenright.svg
Geosiana Forestry,geosiana-marker_forestry,U+002A,U+002A,asterisk,svg/geosiana-marker_forestry/u002A-asterisk.svg
Geosiana Forestry,geosiana-marker_forestry,U+002B,+,plus,svg/geosiana-marker_forestry/u002B-plus.svg
Geosiana Forestry,geosiana-marker_forestry,U+002C,",",comma,svg/geosiana-marker_forestry/u002C-comma.svg
Geosiana Forestry,geosiana-marker_forestry,U+002E,.,period,svg/geosiana-marker_forestry/u002E-period.svg
Geosiana Forestry,geosiana-marker_forestry,U+002F,U+002F,slash,svg/geosiana-marker_forestry/u002F-slash.svg
Geosiana Forestry,geosiana-marker_forestry,U+0030,0,zero,svg/geosiana-marker_forestry/u0030-zero.svg
Geosiana Forestry,geosiana-marker_forestry,U+0031,1,one,svg/geosiana-marker_forestry/u0031-one.svg
Geosiana Forestry,geosiana-marker_forestry,U+0032,2,two,svg/geosiana-marker_forestry/u0032-two.svg
Geosiana Forestry,geosiana-marker_forestry,U+0033,3,three,svg/geosiana-marker_forestry/u0033-three.svg
Geosiana Forestry,geosiana-marker_forestry,U+0034,4,four,svg/geosiana-marker_forestry/u0034-four.svg
Geosiana Forestry,geosiana-marker_forestry,U+0035,5,five,svg/geosiana-marker_forestry/u0035-five.svg
Geosiana Forestry,geosiana-marker_forestry,U+0036,6,six,svg/geosiana-marker_forestry/u0036-six.svg
Geosiana Forestry,geosiana-marker_forestry,U+0037,7,seven,svg/geosiana-marker_forestry/u0037-seven.svg
Geosiana Forestry,geosiana-marker_forestry,U+0038,8,eight,svg/geosiana-marker_forestry/u0038-eight.svg
Geosiana Forestry,geosiana-marker_forestry,U+0039,9,nine,svg/geosiana-marker_forestry/u0039-nine.svg
Geosiana Forestry,geosiana-marker_forestry,U+003A,U+003A,colon,svg/geosiana-marker_forestry/u003A-colon.svg
Geosiana Forestry,geosiana-marker_forestry,U+003B,;,semicolon,svg/geosiana-marker_forestry/u003B-semicolon.svg
Geosiana Forestry,geosiana-marker_forestry,U+003C,U+003C,less,svg/geosiana-marker_forestry/u003C-less.svg
Geosiana Forestry,geosiana-marker_forestry,U+003D,=,equal,svg/geosiana-marker_forestry/u003D-equal.svg
Geosiana Forestry,geosiana-marker_forestry,U+003E,U+003E,greater,svg/geosiana-marker_forestry/u003E-greater.svg
Geosiana Forestry,geosiana-marker_forestry,U+003F,U+003F,question,svg/geosiana-marker_forestry/u003F-question.svg
Geosiana Forestry,geosiana-marker_forestry,U+0040,@,at,svg/geosiana-marker_forestry/u0040-at.svg
Geosiana Forestry,geosiana-marker_forestry,U+0041,A,A,svg/geosiana-marker_forestry/u0041-a.svg
Geosiana Forestry,geosiana-marker_forestry,U+0042,B,B,svg/geosiana-marker_forestry/u0042-b.svg
Geosiana Forestry,geosiana-marker_forestry,U+0043,C,C,svg/geosiana-marker_forestry/u0043-c.svg
Geosiana Forestry,geosiana-marker_forestry,U+0044,D,D,svg/geosiana-marker_forestry/u0044-d.svg
Geosiana Forestry,geosiana-marker_forestry,U+0045,E,E,svg/geosiana-marker_forestry/u0045-e.svg
Geosiana Forestry,geosiana-marker_forestry,U+0046,F,F,svg/geosiana-marker_forestry/u0046-f.svg
Geosiana Forestry,geosiana-marker_forestry,U+0047,G,G,svg/geosiana-marker_forestry/u0047-g.svg
Geosiana Forestry,geosiana-marker_forestry,U+0048,H,H,svg/geosiana-marker_forestry/u0048-h.svg
Geosiana Forestry,geosiana-marker_forestry,U+0049,I,I,svg/geosiana-marker_forestry/u0049-i.svg
Geosiana Forestry,geosiana-marker_forestry,U+004A,J,J,svg/geosiana-marker_forestry/u004A-j.svg
Geosiana Forestry,geosiana-marker_forestry,U+004B,K,K,svg/geosiana-marker_forestry/u004B-k.svg
Geosiana Forestry,geosiana-marker_forestry,U+004C,L,L,svg/geosiana-marker_forestry/u004C-l.svg
Geosiana Forestry,geosiana-marker_forestry,U+004D,M,M,svg/geosiana-marker_forestry/u004D-m.svg
Geosiana Forestry,geosiana-marker_forestry,U+004E,N,N,svg/geosiana-marker_forestry/u004E-n.svg
Geosiana Forestry,geosiana-marker_forestry,U+004F,O,O,svg/geosiana-marker_forestry/u004F-o.svg
Geosiana Forestry,geosiana-marker_forestry,U+0050,P,P,svg/geosiana-marker_forestry/u0050-p.svg
Geosiana Forestry,geosiana-marker_forestry,U+0051,Q,Q,svg/geosiana-marker_forestry/u0051-q.svg
Geosiana Forestry,geosiana-marker_forestry,U+0052,R,R,svg/geosiana-marker_forestry/u0052-r.svg
Geosiana Forestry,geosiana-marker_forestry,U+0053,S,S,svg/geosiana-marker_forestry/u0053-s.svg
Geosiana Forestry,geosiana-marker_forestry,U+0054,T,T,svg/geosiana-marker_forestry/u0054-t.svg
Geosiana Forestry,geosiana-marker_forestry,U+0055,U,U,svg/geosiana-marker_forestry/u0055-u.svg
Geosiana Forestry,geosiana-marker_forestry,U+0056,V,V,svg/geosiana-marker_forestry/u0056-v.svg
Geosiana Forestry,geosiana-marker_forestry,U+0057,W,W,svg/geosiana-marker_forestry/u0057-w.svg
Geosiana Forestry,geosiana-marker_forestry,U+0058,X,X,svg/geosiana-marker_forestry/u0058-x.svg
Geosiana Forestry,geosiana-marker_forestry,U+0059,Y,Y,svg/geosiana-marker_forestry/u0059-y.svg
Geosiana Forestry,geosiana-marker_forestry,U+005A,Z,Z,svg/geosiana-marker_forestry/u005A-z.svg
Geosiana Forestry,geosiana-marker_forestry,U+005B,[,bracketleft,svg/geosiana-marker_forestry/u005B-bracketleft.svg
Geosiana Forestry,geosiana-marker_forestry,U+005C,U+005C,backslash,svg/geosiana-marker_forestry/u005C-backslash.svg
Geosiana Forestry,geosiana-marker_forestry,U+005D,],bracketright,svg/geosiana-marker_forestry/u005D-bracketright.svg
Geosiana Forestry,geosiana-marker_forestry,U+005E,^,asciicircum,svg/geosiana-marker_forestry/u005E-asciicircum.svg
Geosiana Forestry,geosiana-marker_forestry,U+005F,_,underscore,svg/geosiana-marker_forestry/u005F-underscore.svg
Geosiana Forestry,geosiana-marker_forestry,U+0060,`,grave,svg/geosiana-marker_forestry/u0060-grave.svg
Geosiana Forestry,geosiana-marker_forestry,U+0061,a,a,svg/geosiana-marker_forestry/u0061-a.svg
Geosiana Forestry,geosiana-marker_forestry,U+0062,b,b,svg/geosiana-marker_forestry/u0062-b.svg
Geosiana Forestry,geosiana-marker_forestry,U+0063,c,c,svg/geosiana-marker_forestry/u0063-c.svg
Geosiana Forestry,geosiana-marker_forestry,U+0064,d,d,svg/geosiana-marker_forestry/u0064-d.svg
Geosiana Forestry,geosiana-marker_forestry,U+0065,e,e,svg/geosiana-marker_forestry/u0065-e.svg
Geosiana Forestry,geosiana-marker_forestry,U+0066,f,f,svg/geosiana-marker_forestry/u0066-f.svg
Geosiana Forestry,geosiana-marker_forestry,U+0067,g,g,svg/geosiana-marker_forestry/u0067-g.svg
Geosiana Forestry,geosiana-marker_forestry,U+0068,h,h,svg/geosiana-marker_forestry/u0068-h.svg
Geosiana Forestry,geosiana-marker_forestry,U+0069,i,i,svg/geosiana-marker_forestry/u0069-i.svg
Geosiana Forestry,geosiana-marker_forestry,U+006A,j,j,svg/geosiana-marker_forestry/u006A-j.svg
Geosiana Forestry,geosiana-marker_forestry,U+006B,k,k,svg/geosiana-marker_forestry/u006B-k.svg
Geosiana Forestry,geosiana-marker_forestry,U+006C,l,l,svg/geosiana-marker_forestry/u006C-l.svg
Geosiana Forestry,geosiana-marker_forestry,U+006D,m,m,svg/geosiana-marker_forestry/u006D-m.svg
Geosiana Forestry,geosiana-marker_forestry,U+006E,n,n,svg/geosiana-marker_forestry/u006E-n.svg
Geosiana Forestry,geosiana-marker_forestry,U+006F,o,o,svg/geosiana-marker_forestry/u006F-o.svg
Geosiana Forestry,geosiana-marker_forestry,U+0070,p,p,svg/geosiana-marker_forestry/u0070-p.svg
Geosiana Forestry,geosiana-marker_forestry,U+0071,q,q,svg/geosiana-marker_forestry/u0071-q.svg
Geosiana Forestry,geosiana-marker_forestry,U+0072,r,r,svg/geosiana-marker_forestry/u0072-r.svg
Geosiana Forestry,geosiana-marker_forestry,U+0073,s,s,svg/geosiana-marker_forestry/u0073-s.svg
Geosiana Forestry,geosiana-marker_forestry,U+0074,t,t,svg/geosiana-marker_forestry/u0074-t.svg
Geosiana Forestry,geosiana-marker_forestry,U+0075,u,u,svg/geosiana-marker_forestry/u0075-u.svg
Geosiana Forestry,geosiana-marker_forestry,U+0076,v,v,svg/geosiana-marker_forestry/u0076-v.svg
Geosiana Forestry,geosiana-marker_forestry,U+0077,w,w,svg/geosiana-marker_forestry/u0077-w.svg
Geosiana Forestry,geosiana-marker_forestry,U+0078,x,x,svg/geosiana-marker_forestry/u0078-x.svg
Geosiana Forestry,geosiana-marker_forestry,U+0079,y,y,svg/geosiana-marker_forestry/u0079-y.svg
Geosiana Forestry,geosiana-marker_forestry,U+007A,z,z,svg/geosiana-marker_forestry/u007A-z.svg
Geosiana Forestry,geosiana-marker_forestry,U+007C,U+007C,bar,svg/geosiana-marker_forestry/u007C-bar.svg
Geosiana Forestry,geosiana-marker_forestry,U+007D,},braceright,svg/geosiana-marker_forestry/u007D-braceright.svg
Geosiana Forestry,geosiana-marker_forestry,U+007E,~,asciitilde,svg/geosiana-marker_forestry/u007E-asciitilde.svg
Geosiana Forestry,geosiana-marker_forestry,U+00A1,¡,exclamdown,svg/geosiana-marker_forestry/u00A1-exclamdown.svg
Geosiana Forestry,geosiana-marker_forestry,U+00A2,¢,cent,svg/geosiana-marker_forestry/u00A2-cent.svg
Geosiana Forestry,geosiana-marker_forestry,U+00A3,£,sterling,svg/geosiana-marker_forestry/u00A3-sterling.svg
Geosiana Forestry,geosiana-marker_forestry,U+00A4,¤,currency,svg/geosiana-marker_forestry/u00A4-currency.svg
Geosiana Forestry,geosiana-marker_forestry,U+00A5,¥,yen,svg/geosiana-marker_forestry/u00A5-yen.svg
Geosiana Forestry,geosiana-marker_forestry,U+00A6,¦,brokenbar,svg/geosiana-marker_forestry/u00A6-brokenbar.svg
Geosiana Forestry,geosiana-marker_forestry,U+00A7,§,section,svg/geosiana-marker_forestry/u00A7-section.svg
Geosiana Forestry,geosiana-marker_forestry,U+00A8,¨,dieresis,svg/geosiana-marker_forestry/u00A8-dieresis.svg
Geosiana Forestry,geosiana-marker_forestry,U+00A9,©,copyright,svg/geosiana-marker_forestry/u00A9-copyright.svg
Geosiana Forestry,geosiana-marker_forestry,U+00AA,ª,ordfeminine,svg/geosiana-marker_forestry/u00AA-ordfeminine.svg
Geosiana Forestry,geosiana-marker_forestry,U+00AB,«,guillemotleft,svg/geosiana-marker_forestry/u00AB-guillemotleft.svg
Geosiana Forestry,geosiana-marker_forestry,U+00AC,¬,logicalnot,svg/geosiana-marker_forestry/u00AC-logicalnot.svg
Geosiana Forestry,geosiana-marker_forestry,U+00AE,®,registered,svg/geosiana-marker_forestry/u00AE-registered.svg
Geosiana Forestry,geosiana-marker_forestry,U+00AF,¯,macron,svg/geosiana-marker_forestry/u00AF-macron.svg
Geosiana Forestry,geosiana-marker_forestry,U+00B0,°,degree,svg/geosiana-marker_forestry/u00B0-degree.svg
Geosiana Forestry,geosiana-marker_forestry,U+00B1,±,plusminus,svg/geosiana-marker_forestry/u00B1-plusminus.svg
Geosiana Forestry,geosiana-marker_forestry,U+00B2,²,uni00B2,svg/geosiana-marker_forestry/u00B2-uni00b2.svg
Geosiana Forestry,geosiana-marker_forestry,U+00B3,³,uni00B3,svg/geosiana-marker_forestry/u00B3-uni00b3.svg
Geosiana Forestry,geosiana-marker_forestry,U+00B4,´,acute,svg/geosiana-marker_forestry/u00B4-acute.svg
Geosiana Forestry,geosiana-marker_forestry,U+00B5,µ,mu,svg/geosiana-marker_forestry/u00B5-mu.svg
